Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 351880,VENNELA (A.C. SLEEPER),00:40,06:05,05h 25m,INR 737,17 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,07:15,06h 15m,INR 412,32 Seats available,"3.8
33",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,06:49,05h 24m,INR 737,11 Seats available,"3.8
31",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,08:00,06h 15m,INR 412,29 Seats available,"4.5
19",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3058,VENNELA (A.C. SLEEPER),02:20,07:40,05h 20m,INR 781,16 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3548,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:00,09:20,06h 20m,INR 412,33 Seats available,"4.1
19",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35197,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),03:10,08:35,05h 25m,INR 633,48 Seats available,"4.6
58",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35190,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),04:10,09:30,05h 20m,INR 633,45 Seats available,"4.3
88",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3558,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:20,09:20,05h 00m,INR 633,25 Seats available,"4.5
173",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35267,INDRA(A.C. Seater),04:40,10:04,05h 24m,INR 567,35 Seats available,"3.4
84",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,12:05,07h 20m,INR 469,31 Seats available,"3.2
20",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3586,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),05:10,10:25,05h 15m,INR 720,29 Seats available,"4.5
137",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35196,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50,12:50,07h 00m,INR 412,32 Seats available,"4.4
31",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:55,12:50,06h 55m,INR 412,32 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35274,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),06:10,11:34,05h 24m,INR 720,37 Seats available,"4.1
99",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 23701,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,12:30,06h 15m,INR 436,34 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3592,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:00,14:20,07h 20m,INR 469,33 Seats available,"4.2
21",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3574,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),07:15,12:54,05h 39m,INR 720,31 Seats available,"3.6
86",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3822,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:50,14:35,06h 45m,INR 436,32 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 9401,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:00,15:50,07h 50m,INR 412,32 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3572,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),08:05,14:04,05h 59m,INR 720,35 Seats available,"4.0
82",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3749,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:50,15:45,06h 55m,INR 412,34 Seats available,"3.8
4",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
